pengguna;produk;rating;review;gambar
k***i;OPPO A18 4GB/128GB Smartphone (Garansi Resmi) - PromoVarian: Biru;5;marang masih segel, dan sengaja bikin ulasan nya telat dan alhamdulilah barang bagus berfungsi normal;
Ferry;OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi) - PromoVarian: Ungu;5;good jobs👍👍👍;gambar_produk/produk_4_7.webp
P***t;OPPO Reno12 F 5G 12GB/256GB (Garansi Resmi) XYZ8732OPVarian: Orange 256GB;5;Hp-nya diterima tanpa kendala. Hp dipacking aman dan Hp berjalan dengan baik. Terima kasih banyak;
A***s;OPPO A5 Pro 8GB+128GB/256GB (Garansi Resmi)Varian: Cokelat - 8/256GB;5;Alhamdulillah suda sampai, sesuwai pesanan;gambar_produk/produk_4_9.webp
Andri;OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi)Varian: Ungu;5;barang masih di segel, pengemasan rapih dan sangat baik jadi tidak takut penyok;gambar_produk/produk_5_0.webp
Sandi;OPPO A38 6GB/128GB (Garansi Resmi) XYZ8732OPVarian: Hitam;5;sampai dgn selamat;gambar_produk/produk_5_1.webp
edo;OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi) - PromoVarian: Hitam;5;berfungsi baik;gambar_produk/produk_5_2.webp
Eko;[NEW] OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi)Varian: Ungu;5;terima kasih, produk sampai sesuai dengan pesanan, cepat sampai, packing rapi aman 👍🏻;gambar_produk/produk_5_3.webp
Gusmerly;OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi)Varian: Ungu;5;sesuai...mantapppppppp benerrrrrrrrrr dehhhhhhhhhhhhhhhhhhhhh;
andi;OPPO A3x 4GB(+4GB)/64GB (Garansi Resmi)  XYZ8732OPVarian: Biru;5;aamaaaaannnnnn pokoknyaaaa;gambar_produk/produk_5_5.webp
Arrum;OPPO A79 5G 8GB/256GB (Garansi Resmi)Varian: Hitam;5;Barang masih disegel dan berfungsi dengan baik;gambar_produk/produk_5_6.webp
Narko;OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi) - PromoVarian: Hitam;5;mantaf..sesuai barangny;gambar_produk/produk_5_7.webp
Suryadi;OPPO Reno11 5G 8GB/256GB (Garansi Resmi)Varian: Hitam;5;barang sesuai pesanan, original oppo,,, recommended seller;gambar_produk/produk_5_8.webp
L***o;OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi)Varian: Ungu;5;barang masih segel dan ori, pengiriman cepat 👍;
Faishal;OPPO Half-Ear Earphones MH135 White 3.5mm;5;packing aman, kualitas barang aman, suara empuk;gambar_produk/produk_6_0.webp
arif;OPPO Reno12 F 8GB/256GB Smartphone (Garansi Resmi) XYZ8732OPVarian: Green;5;Hp masih bersegel, packing double plastik bubble dan Dus MANTAP;gambar_produk/produk_6_1.webp
widioko;OPPO A38 6GB/128GB (Garansi Resmi) XYZ8732OPVarian: Hitam;5;barang masih tersegel,semoga berfungsi dengan baik....dan semoga awet;gambar_produk/produk_6_2.webp
